antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'youtuber'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'country'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'country'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'abbreviation'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'abbreviation'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'channel_type'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'channel_type'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'country'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'country'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'youtuber', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'abbreviation'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'abbreviation'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'youtuber', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'channel_type'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'channel_type'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'title', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'youtuber', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'abbreviation'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'country'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'country'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'abbreviation', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'youtuber', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'youtuber', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'channel_type'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'country'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'channel_type', 'country'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'channel_type', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'youtuber', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'youtuber', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'abbreviation'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'channel_type'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'channel_type'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'abbreviation', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'youtuber', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'youtuber', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'country'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'country'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'abbreviation'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'abbreviation'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'category', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'channel_type'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'channel_type'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'title', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'category', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'abbreviation'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'country'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'country'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'abbreviation', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'category', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'channel_type'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'country'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'channel_type', 'country'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'channel_type', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'category', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'abbreviation'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'channel_type'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'channel_type'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'abbreviation', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'category', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'category', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'abbreviation'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'country'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'country'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'abbreviation', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'channel_type'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'country'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'channel_type', 'country'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'channel_type', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'title', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'abbreviation'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'channel_type'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'channel_type'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'abbreviation', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'title', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'channel_type'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'abbreviation', 'country'})",frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'channel_type', 'country'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),"frozenset({'channel_type', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),"frozenset({'abbreviation', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'abbreviation', 'channel_type'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category', 'title'})",frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category', 'country'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title', 'country'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title', 'country'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})","frozenset({'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})","frozenset({'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'country'})","frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})","frozenset({'youtuber', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'country'})","frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'country'})","frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'title', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),"frozenset({'youtuber', 'category', 'country'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),"frozenset({'youtuber', 'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category', 'title'})",frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category', 'abbreviation'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title', 'abbreviation'})",frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title', 'abbreviation'})",frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})","frozenset({'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'title'})","frozenset({'category', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'abbreviation'})","frozenset({'category', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'title'})","frozenset({'youtuber', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'category', 'abbreviation'})","frozenset({'youtuber', 'title'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'title', 'abbreviation'})","frozenset({'youtuber', 'category'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),"frozenset({'category', 'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),"frozenset({'youtuber', 'title', 'abbreviation'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
